iter	Passed	Remaining
224	683	2354
225	685	2347
226	686	2339
227	690	2338
228	694	2339
229	696	2331
230	698	2324
231	700	2317
232	702	2312
233	706	2311
234	708	2305
235	710	2299
236	712	2293
237	714	2286
238	715	2278
239	726	2300
240	728	2294
241	730	2287
242	732	2280
243	738	2287
244	745	2297
245	748	2294
246	760	2317
247	763	2314
248	765	2307
249	772	2318
250	776	2318
251	778	2311
252	783	2312
253	785	2306
254	787	2301
255	789	2294
256	791	2289
257	794	2286
258	802	2296
259	806	2296
260	808	2290
261	813	2290
262	815	2284
263	820	2286
264	823	2285
265	834	2303
266	836	2297
267	866	2367
268	869	2362
269	871	2357
270	873	2350
271	913	2444
272	915	2437
273	927	2456
274	936	2469
275	942	2473
276	945	2466
277	948	2462
278	950	2457
279	963	2478
280	966	2474
281	969	2467
282	974	2468
283	978	2468
284	981	2462
285	983	2455
286	989	2459
287	992	2452
288	998	2455
289	999	2447
290	1002	2442
291	1009	2447
292	1011	2441
293	1015	2438
294	1020	2439
295	1023	2435
296	1026	2430
297	1038	2446
298	1042	2444
299	1050	2450
300	1056	2453
301	1058	2447
302	1064	2449
303	1067	2442
304	1070	2439
305	1073	2434
306	1077	2431
307	1080	2426
308	1087	2431
309	1089	2425
310	1094	2425
311	1097	2420
312	1100	2414
313	1104	2412
314	1106	2405
315	1107	2398
316	1109	2390
317	1116	2395
318	1124	2399
319	1129	2400
320	1132	2395
321	1136	2392
322	1138	2385
323	1140	2378
324	1144	2376
325	1150	2378
326	1155	2378
327	1165	2387
328	1169	2384
329	1171	2378
330	1175	2376
331	1177	2369
332	1179	2363
333	1182	2357
334	1184	2351
335	1186	2343
336	1188	2338
337	1190	2332
338	1195	2330
339	1197	2324
340	1199	2317
341	1202	2314
342	1204	2307
343	1211	2310
344	1214	2304
345	1219	2304
346	1224	2303
347	1227	2299
348	1230	2295
349	1240	2303
350	1242	2297
351	1246	2295
352	1248	2289
353	1251	2284
354	1253	2277
355	1255	2271
356	1259	2267
357	1267	2272
358	1269	2266
359	1272	2261
360	1273	2254
361	1276	2249
362	1280	2246
363	1282	2240
364	1283	2233
365	1298	2249
366	1302	2245
367	1305	2242
368	1307	2236
369	1310	2230
370	1311	2224
371	1314	2218
372	1322	2222
373	1324	2217
374	1326	2211
375	1332	2210
376	1336	2208
377	1338	2203
378	1341	2197
379	1343	2191
380	1347	2189
381	1351	2186
382	1353	2180
383	1355	2174
384	1357	2168
385	1359	2162
386	1363	2159
387	1364	2152
388	1367	2148
389	1369	2141
390	1371	2135
391	1372	2129
392	1374	2123
393	1377	2118
394	1380	2114
395	1382	2109
396	1384	2103
397	1386	2097
398	1389	2092
399	1392	2089
400	1394	2083
401	1396	2077
402	1399	2073
403	1401	2068
404	1405	2064
405	1408	2060
406	1409	2054
407	1411	2048
408	1413	2042
409	1415	2037
410	1419	2034
411	1421	2028
412	1423	2023
413	1426	2019
414	1429	2014
415	1436	2016
416	1438	2011
417	1440	2005
418	1442	2000
419	1445	1996
420	1450	1994
421	1453	1990
422	1454	1984
423	1456	1978
424	1458	1972
425	1462	1971
426	1468	1971
427	1472	1967
428	1478	1968
429	1482	1965
430	1485	1961
431	1490	1960
432	1494	1957
433	1496	1952
